codigo,tipo,finalidade,bairro,cidade,dormitorios,suites,vagas,area_util,area_total,preco,condominio,iptu,descricao,caracteristicas,endereco_aproximado,fotos,video,status,corretor_responsavel,data_cadastro,url
3531173,Apartamento,Venda,CENTRO,Veranópolis,3,1,2,109,0,571000,,,"Apartamento 3 Quartos para Venda, Veranópolis / RS, bairro CENTRO, 3 dormitórios, sendo 1 suíte, 2 banheiros, 2 vagas de garagem, mobiliado, área útil 109,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/20250408112618888.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3531173/apartamento-3-quartos-venda-veranopolis-rs-centro-condominio-residencial-villa-genoveva
1609981,Apartamento,Venda,CENTRO,Veranópolis,3,0,1,101.6,127.62,565000,,,"Apartamento 3 Quartos para Venda, Veranópolis / RS, bairro CENTRO, 3 dormitórios, 2 banheiros, 1 vaga de garagem, mobiliado, área total 127,62 m², área útil 101,60 m²",,,https://www.vaneiscussel.com/imagens/imoveis/20220601234941983.JPG,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/1609981/apartamento-3-quartos-venda-veranopolis-rs-centro-edificio-valdomiro-giugno
3188631,Apartamento,Venda,CENTRO,Veranópolis,2,1,1,110,0,557000,,,"Apartamento 2 dormitórios para Venda, Veranópolis / RS, bairro CENTRO, 2 dormitórios, sendo 1 suíte, 2 banheiros, 1 vaga de garagem, área útil 110,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202409091157549591.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3188631/apartamento-2-dormitorios-venda-veranopolis-rs-centro-urban-515
3546079,Casa,Venda,Renovação,Veranópolis,3,0,2,0,0,557000,,,"Casa para Venda, Veranópolis / RS, bairro Renovação, 3 dormitórios, 2 banheiros, 2 vagas de garagem, mobiliado, terreno 595,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202504111850204526.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3546079/casa-venda-veranopolis-rs-renovacao
2458307,Apartamento,Venda,CENTRO,Veranópolis,2,1,1,112.4,139.56,548000,,,"Apartamento 2 dormitórios para Venda, Veranópolis / RS, bairro CENTRO, 2 dormitórios, sendo 1 suíte, 2 banheiros, 1 vaga de garagem, área total 139,56 m², área útil 112,40 m²",,,https://www.vaneiscussel.com/imagens/imoveis/2023080316240721.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/2458307/apartamento-2-dormitorios-venda-veranopolis-rs-centro-edificio-res-e-com-augusto-perachi
4138488,Apartamento,Venda,CENTRO,Veranópolis,2,0,1,66.15,0,548000,,,"Apartamento 2 dormitórios para Venda, Veranópolis / RS, bairro CENTRO, 2 dormitórios, 1 banheiro, 1 vaga de garagem, mobiliado, área útil 66,15 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202603231209418543.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/4138488/apartamento-2-dormitorios-venda-veranopolis-rs-centro
4193262,Apartamento,Venda,CENTRO,Veranópolis,2,2,1,85.31,0,548000,,,"Apartamento 2 dormitórios para Venda, Veranópolis / RS, bairro CENTRO, 2 dormitórios, sendo 2 suítes, 3 banheiros, 1 vaga de garagem, mobiliado, área útil 85,31 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202604281159219792.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/4193262/apartamento-2-dormitorios-venda-veranopolis-rs-centro-lucas-pro-guincho
3869850,Apartamento,Venda,CENTRO,Veranópolis,2,1,2,76.28,92.14,520000,,,"Apartamento 2 dormitórios para Venda, Veranópolis / RS, bairro CENTRO, 2 dormitórios, sendo 1 suíte, 2 banheiros, 2 vagas de garagem, mobiliado, área total 92,14 m², área útil 76,28 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202510271615358495.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3869850/apartamento-2-dormitorios-venda-veranopolis-rs-centro-residencial-essenza
3605947,Sítio,Venda,interior,,0,0,0,0,3064.27,503000,,,"Sítio para Venda, bairro interior, área total 3.064,27 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202506031533398721.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3605947/sitio-venda-interior
3852139,Apartamento,Venda,CENTRO,Veranópolis,2,0,0,82,0,494000,,,"Apartamento 2 dormitórios para Venda, Veranópolis / RS, bairro CENTRO, 2 dormitórios, 1 banheiro, mobiliado, área útil 82,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202510141816061623.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3852139/apartamento-2-dormitorios-venda-veranopolis-rs-centro-dona-mathilde
3952816,Apartamento,Venda,CENTRO,Veranópolis,2,0,1,67.21,0,485000,,,"Apartamento 2 dormitórios para Venda, Veranópolis / RS, bairro CENTRO, 2 dormitórios, 1 banheiro, 1 vaga de garagem, área útil 67,21 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202601051650582971.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3952816/apartamento-2-dormitorios-venda-veranopolis-rs-centro-edificio-deodoro-470
3240223,Terreno,Venda,Femaçã,Veranópolis,0,0,0,0,450,480000,,,"Terreno Urbano para Venda, Veranópolis / RS, bairro Femaçã, área total 450,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202410041742089421.JPG,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3240223/terreno-urbano-venda-veranopolis-rs-femaca
3699146,Apartamento,Venda,CENTRO,Veranópolis,2,1,1,0,0,480000,,,"Apartamento 2 dormitórios para Venda, Veranópolis / RS, bairro CENTRO, 2 dormitórios, sendo 1 suíte, 2 banheiros, 1 vaga de garagem, mobiliado",,,https://www.vaneiscussel.com/imagens/imoveis/202507171201284761.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3699146/apartamento-2-dormitorios-venda-veranopolis-rs-centro-residencial-essenza
3796634,Sala Comercial,Aluguel,CENTRO,Veranópolis,0,0,1,60,0,480000,,,"Sala Comercial para Locação, Veranópolis / RS, bairro CENTRO, 1 vaga de garagem, área útil 60,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/20260324143105166.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3796634/sala-comercial-locacao-veranopolis-rs-centro-edificio-contemporaneo
4155737,Apartamento,Venda,CENTRO,Veranópolis,2,0,1,67.7,0,480000,,,"Apartamento 2 dormitórios para Venda, Veranópolis / RS, bairro CENTRO, 2 dormitórios, 1 banheiro, 1 vaga de garagem, área útil 67,70 m²",,,https://www.vaneiscussel.com/imagens/imoveis/20260417201155735.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/4155737/apartamento-2-dormitorios-venda-veranopolis-rs-centro
2684167,Apartamento,Venda,CENTRO,Veranópolis,2,0,1,67.21,0,476000,,,"Apartamento 2 dormitórios para Venda, Veranópolis / RS, bairro CENTRO, 2 dormitórios, 1 banheiro, 1 vaga de garagem, área útil 67,21 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202509221537446882.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/2684167/apartamento-2-dormitorios-venda-veranopolis-rs-centro-edificio-deodoro-470
4124461,Terreno,Venda,Femaçã,Veranópolis,0,0,0,0,580,476000,,,"Terreno Urbano para Venda, Veranópolis / RS, bairro Femaçã, área total 580,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202603160927493439.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/4124461/terreno-urbano-venda-veranopolis-rs-femaca-residencial-morada-do-bosque
3952967,Sala Comercial,Venda,CENTRO,Veranópolis,0,0,0,73,0,449000,,,"Sala Comercial para Venda, Veranópolis / RS, bairro CENTRO, área útil 73,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202601051728454091.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3952967/sala-comercial-venda-veranopolis-rs-centro-vertice-offices
4199584,Apartamento,Venda,CENTRO,Veranópolis,2,0,1,73.93,85.5,420000,,,"Apartamento 2 dormitórios para Venda, Veranópolis / RS, bairro CENTRO, 2 dormitórios, 1 banheiro, 1 vaga de garagem, área total 85,50 m², área útil 73,93 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202604291122261939.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/4199584/apartamento-2-dormitorios-venda-veranopolis-rs-centro-majestic-residencial
2835465,Sala Comercial,Venda,CENTRO,Veranópolis,0,0,0,68.55,71.31,408000,,,"Sala Comercial para Venda, Veranópolis / RS, bairro CENTRO, área total 71,31 m², área útil 68,55 m²",,,https://www.vaneiscussel.com/imagens/imoveis/20240314115428127.JPG,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/2835465/sala-comercial-venda-veranopolis-rs-centro
2263166,Apartamento,Venda,Vila Azul,Veranópolis,2,0,1,112,136,404000,,,"Apartamento 2 dormitórios para Venda, Veranópolis / RS, bairro Vila Azul, 2 dormitórios, 2 banheiros, 1 vaga de garagem, área total 136,00 m², área útil 112,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/20230425220248755.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/2263166/apartamento-2-dormitorios-venda-veranopolis-rs-vila-azul
3872424,,Venda,São Pelegrino,Veranópolis,0,0,0,0,0,400000,,,"Condomínio Fechado para Venda, Veranópolis / RS, bairro São Pelegrino",,,https://www.vaneiscussel.com/imagens/imoveis/202510271702109759.jpeg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3872424/condominio-fechado-venda-veranopolis-rs-sao-pelegrino-condominio-citta
3442407,Terreno,Venda,CENTRO,Veranópolis,0,0,0,0,0,385000,,,"Terreno Urbano para Venda, Veranópolis / RS, bairro CENTRO",,,https://www.vaneiscussel.com/imagens/imoveis/202503191119021437.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3442407/terreno-urbano-venda-veranopolis-rs-centro-residencial-morada-do-bosque
4137829,Apartamento,Venda,CENTRO,Veranópolis,2,32,1,52.45,0,365000,,,"Apartamento 2 dormitórios para Venda, Veranópolis / RS, bairro CENTRO, 2 dormitórios, sendo 32 suítes, 1 banheiro, 1 vaga de garagem, área útil 52,45 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202603211835417478.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/4137829/apartamento-2-dormitorios-venda-veranopolis-rs-centro-edificio-las-palmas
2209473,Sala Comercial,Venda,Azenha,,0,0,0,56,0,350000,,,"Sala Comercial para Venda, Porto Alegre / RS, bairro Azenha, 2 banheiros, área útil 56,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/20230328110910540.JPG,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/2209473/sala-comercial-venda-porto-alegre-rs-azenha
2637550,Sala Comercial,Venda,CENTRO,Veranópolis,0,0,0,62,0,350000,,,"Sala Comercial para Venda, Veranópolis / RS, bairro CENTRO, mobiliado, área útil 62,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/20240122163831845.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/2637550/sala-comercial-venda-veranopolis-rs-centro
3561818,,Venda,Femaçã,Veranópolis,0,0,0,0,500,350000,,,"Condomínio Fechado para Venda, Veranópolis / RS, bairro Femaçã, área total 500,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202504280955098323.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3561818/condominio-fechado-venda-veranopolis-rs-femaca-jardim-europa
4041049,Terreno,Venda,Loteamento Vista do Vale,,0,0,0,0,400,350000,,,"Terreno Urbano para Venda, Monte Belo do Sul / RS, bairro Loteamento Vista do Vale, área total 400,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202602252218328456.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/4041049/terreno-urbano-venda-monte-belo-do-sul-rs-loteamento-vista-do-vale
3159580,Sítio,Venda,interior,Veranópolis,0,0,0,0,4.5,325000,,,"Sítio para Venda, Veranópolis / RS, bairro interior, área total 4,50 Hectares",,,https://www.vaneiscussel.com/imagens/imoveis/20240828095248702.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3159580/sitio-venda-veranopolis-rs-interior
3159696,Terreno,Venda,São Pelegrino,,0,0,0,0,525,323000,,,"Terreno Urbano para Venda, bairro São Pelegrino, área total 525,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202408281038112922.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3159696/terreno-urbano-venda-sao-pelegrino
3633483,Terreno,Venda,Linha Aimoré,,0,0,0,0,800,314000,,,"Terreno Urbano para Venda, Vila Flores / RS, bairro Linha Aimoré, área total 800,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202506051555238034.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3633483/terreno-urbano-venda-vila-flores-rs-linha-aimore-condominio-residencial-horizontes
3591392,Apartamento,Venda,CENTRO,,3,0,1,115,0,305000,,,"Apartamento 3 Quartos para Venda, bairro CENTRO, 3 dormitórios, 2 banheiros, 1 vaga de garagem, mobiliado, área útil 115,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202505121124185472.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3591392/apartamento-3-quartos-venda-centro-residencial-dona-clara
4142730,Terreno,Venda,Femaçã,,0,0,0,0,494,299000,,,"Terreno Urbano para Venda, bairro Femaçã, área total 494,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202603251216446092.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/4142730/terreno-urbano-venda-femaca
3797221,Terreno,Venda,Beltrame,Veranópolis,0,0,0,0,364,298000,,,"Terreno Urbano para Venda, Veranópolis / RS, bairro Beltrame, área total 364,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202509160927263885.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3797221/terreno-urbano-venda-veranopolis-rs-beltrame
2772120,Sítio,Venda,Linha Marquez do Herval,Veranópolis,0,0,0,0,2667,296000,,,"Sítio para Venda, Veranópolis / RS, bairro Linha Marquez do Herval, área total 2.667,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/20240208092331941.JPG,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/2772120/sitio-venda-veranopolis-rs-linha-marquez-do-herval
3122598,Sítio,Venda,interior,Veranópolis,0,0,0,0,16,269000,,,"Sítio para Venda, Veranópolis / RS, bairro interior, área total 16,00 Hectares",,,https://www.vaneiscussel.com/imagens/imoveis/202408121033134337.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3122598/sitio-venda-veranopolis-rs-interior
2327418,Terreno,Venda,LOTEAMENTO BELA VISTA,Veranópolis,0,0,0,0,390,251000,,,"Terreno Urbano para Venda, Veranópolis / RS, bairro LOTEAMENTO BELA VISTA, área total 390,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/20230607114914859.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/2327418/terreno-urbano-venda-veranopolis-rs-loteamento-bela-vista
3276238,Terreno,Venda,CENTRO,,0,0,0,0,420,230000,,,"Terreno Urbano para Venda, Vila Flores / RS, bairro CENTRO, área total 420,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202410221036105304.JPG,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3276238/terreno-urbano-venda-vila-flores-rs-centro
3863591,Sala Comercial,Venda,CENTRO,Veranópolis,0,0,0,64,0,215000,,,"Sala Comercial para Venda, Veranópolis / RS, bairro CENTRO, 1 banheiro, área útil 64,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/2025102214345118.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3863591/sala-comercial-venda-veranopolis-rs-centro-condominio-ignacio-frainer
4041039,Terreno,Venda,Terras urbanas,,0,0,0,0,450,215000,,,"Terreno Urbano para Venda, Nova Prata / RS, bairro Terras urbanas, área total 450,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202602252202256648.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/4041039/terreno-urbano-venda-nova-prata-rs-terras-urbanas
3386629,Terreno,Venda,Linha Benjamin Constant,,0,0,0,0,1265.45,188000,,,"Terreno Urbano para Venda, Nova Bassano / RS, bairro Linha Benjamin Constant, área total 1.265,45 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202501181641042073.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3386629/terreno-urbano-venda-nova-bassano-rs-linha-benjamin-constant
4137868,Terreno,Venda,São Pelegrino,Veranópolis,0,0,0,0,405,167000,,,"Terreno Urbano para Venda, Veranópolis / RS, bairro São Pelegrino, área total 405,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/20260321193304276.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/4137868/terreno-urbano-venda-veranopolis-rs-sao-pelegrino-loteamento-solar-norte-2
3630528,Terreno,Venda,CENTRO,,0,0,0,0,0,149000,,,"Terreno Urbano para Venda, Nova Bassano / RS, bairro CENTRO, terreno 360,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202506031855319176.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3630528/terreno-urbano-venda-nova-bassano-rs-centro-lotmoroso
2947561,Terreno,Venda,Linha Aimoré,,0,0,0,0,360,134000,,,"Terreno Urbano para Venda, Vila Flores / RS, bairro Linha Aimoré, área total 360,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/2024051311504692.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/2947561/terreno-urbano-venda-vila-flores-rs-linha-aimore-loteamento-vila-uniao
4163146,Terreno,Venda,CENTRO,Cotiporã,0,0,0,0,1068,134000,,,"Terreno Urbano para Venda, Cotiporã / RS, bairro CENTRO, área total 1.068,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202604071131357828.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/4163146/terreno-urbano-venda-cotipora-rs-centro
2331256,Terreno,Venda,Vila Azul,Veranópolis,0,0,0,0,301.37,125000,,,"Terreno Urbano para Venda, Veranópolis / RS, bairro Vila Azul, área total 301,37 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202504301048171892.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/2331256/terreno-urbano-venda-veranopolis-rs-vila-azul
3796693,,Venda,CENTRO,Veranópolis,0,0,0,0,0,116000,,,"Box para Venda, Veranópolis / RS, bairro CENTRO",,,https://www.vaneiscussel.com/imagens/imoveis/202509151603189256.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3796693/box-venda-veranopolis-rs-centro-attos-tower
3386627,Terreno,Venda,Linha Benjamin Constant,,0,0,0,0,451.91,89000,,,"Terreno Urbano para Venda, Nova Bassano / RS, bairro Linha Benjamin Constant, área total 451,91 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202501181635332815.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3386627/terreno-urbano-venda-nova-bassano-rs-linha-benjamin-constant
3404417,Terreno,Venda,CENTRO,Paraí,0,0,0,0,363.03,71000,,,"Terreno Urbano para Venda, Paraí / RS, bairro CENTRO, área total 363,03 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202506031549408440.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3404417/terreno-urbano-venda-parai-rs-centro-loteamento-sol-nascente
3975947,Sala Comercial,Venda,CENTRO,,0,0,0,80,0,3000,,,"Sala Comercial para Venda, bairro CENTRO, mobiliado, área útil 80,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202601210914459688.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3975947/sala-comercial-venda-centro-edificio-san-raphael
3044534,Sala Comercial,Aluguel,CENTRO,Veranópolis,0,0,0,70,0,2500,,,"Sala Comercial para Locação, Veranópolis / RS, bairro CENTRO, 1 banheiro, área útil 70,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202407031136273514.JPG,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3044534/sala-comercial-locacao-veranopolis-rs-centro-di-domenico
